artist.id	artist.fc	movement.era.id	movement.era.name	movement.id	movement.name
718	Bernd Becher and Hilla Becher	415	20th century post-1945	421	Conceptual Art
726	Graham Bell	8	20th century 1900-1945	304	Euston Road School
727	Larry Bell	415	20th century post-1945	430	Minimalism
730	Trevor Bell	415	20th century post-1945	441	St Ives School
731	Vanessa Bell	8	20th century 1900-1945	295	Bloomsbury Group
736	Hans Bellmer	8	20th century 1900-1945	320	Surrealism
7290	Lynda Benglis	415	20th century post-1945	12081	Feminist Art
737	Anthony Benjamin	415	20th century post-1945	441	St Ives School
744	Eugène Berman	8	20th century 1900-1945	312	Neo-Romanticism
34	John Bettes	289	16th and 17th century	414	Tudor
747	Joseph Beuys	415	20th century post-1945	423	Fluxus
747	Joseph Beuys	415	20th century post-1945	422	Environmental Art
747	Joseph Beuys	415	20th century post-1945	421	Conceptual Art
747	Joseph Beuys	415	20th century post-1945	1684	Actionism
747	Joseph Beuys	415	20th century post-1945	436	Performance Art
747	Joseph Beuys	415	20th century post-1945	429	Land Art
748	Robert Bevan	8	20th century 1900-1945	297	Camden Town Group
2296	Ashley Bickerton	415	20th century post-1945	1678	Neo-Geo
750	Charles Biederman	8	20th century 1900-1945	298	Constructivism
1658	John Bigge (Sir John Amherst Selby-Bigge, Bt)	8	20th century 1900-1945	321	Unit One
2749	Richard Billingham	415	20th century post-1945	11857	Young British Artists (YBA)
752	Mario Bionda	415	20th century post-1945	8454	Art Informel
756	Julius Bissier	415	20th century post-1945	8454	Art Informel
757	Roger Bissière	415	20th century post-1945	8454	Art Informel
11563	Karla Black	415	20th century post-1945	12081	Feminist Art
763	Peter Blake	415	20th century post-1945	1683	British Pop
763	Peter Blake	415	20th century post-1945	440	Ruralists, Brotherhood of
771	Umberto Boccioni	8	20th century 1900-1945	307	Futurism
776	Michael Bolus	415	20th century post-1945	433	New Generation Sculpture
777	David Bomberg	8	20th century 1900-1945	10525	British War Art
777	David Bomberg	8	20th century 1900-1945	322	Vorticism
778	Sir Muirhead Bone	8	20th century 1900-1945	10525	British War Art
781	Pierre Bonnard	8	20th century 1900-1945	12691	Intimism
784	Jonathan Borofsky	415	20th century post-1945	431	Neo-Expressionism
42	Peter Borseller	289	16th and 17th century	411	Restoration
785	Derek Boshier	415	20th century post-1945	1683	British Pop
787	James Boswell	8	20th century 1900-1945	293	Artists International Association
2684	Pauline Boty	415	20th century post-1945	1683	British Pop
44	George Henry Boughton	350	19th century	8064	Victorian/Genre
2351	Louise Bourgeois	415	20th century post-1945	16666	Abject art
2351	Louise Bourgeois	415	20th century post-1945	12081	Feminist Art
4381	Denis Bowen	415	20th century post-1945	443	Tachisme
45	Edward Bower	289	16th and 17th century	399	Civil War and Commonwealth
46	Henry Alexander Bowler	350	19th century	8064	Victorian/Genre
46	Henry Alexander Bowler	350	19th century	363	Pre-Raphaelite
48	George Price Boyce	350	19th century	363	Pre-Raphaelite
796	Arthur Boyd	8	20th century 1900-1945	16668	Angry Penguins
798	Martin Bradley	8	20th century 1900-1945	1688	British Surrealism
51	Frank Bramley	350	19th century	8064	Victorian/Genre
51	Frank Bramley	350	19th century	360	Newlyn School
800	Constantin Brancusi	8	20th century 1900-1945	303	Direct Carving
802	Sir Frank Brangwyn	8	20th century 1900-1945	10525	British War Art
3094	Clive Branson	8	20th century 1900-1945	293	Artists International Association
3094	Clive Branson	8	20th century 1900-1945	1688	British Surrealism
3094	Clive Branson	8	20th century 1900-1945	10525	British War Art
803	Georges Braque	8	20th century 1900-1945	1685	Return to Order
803	Georges Braque	8	20th century 1900-1945	299	Cubism
804	John Bratby	415	20th century post-1945	427	Kitchen Sink Art
805	Ian Breakwell	415	20th century post-1945	421	Conceptual Art
806	Claude Breeze	415	20th century post-1945	437	Pop Art
807	André Breton	8	20th century 1900-1945	320	Surrealism
53	John Brett	350	19th century	363	Pre-Raphaelite
2415	Henry Bright	350	19th century	362	Norwich School
813	Stuart Brisley	415	20th century post-1945	13001	Artist Placement Group
813	Stuart Brisley	415	20th century post-1945	436	Performance Art
813	Stuart Brisley	415	20th century post-1945	1680	Body Art
56	British School 16th century	289	16th and 17th century	408	Post-Reformation
56	British School 16th century	289	16th and 17th century	414	Tudor
57	British School 17th century	289	16th and 17th century	413	Later Stuart
57	British School 17th century	289	16th and 17th century	411	Restoration
57	British School 17th century	289	16th and 17th century	414	Tudor
57	British School 17th century	289	16th and 17th century	409	Regional
57	British School 17th century	289	16th and 17th century	412	Early Stuart
59	British School 18th century	290	18th century	346	Rococo
2638	British (?) School	289	16th and 17th century	412	Early Stuart
815	Marcel Broodthaers	415	20th century post-1945	421	Conceptual Art
818	James Brooks	415	20th century post-1945	416	Abstract Expressionism
65	Ford Madox Brown	350	19th century	363	Pre-Raphaelite
827	Günter Brus	415	20th century post-1945	436	Performance Art
827	Günter Brus	415	20th century post-1945	1684	Actionism
2276	Carl Buchheister	415	20th century post-1945	8454	Art Informel
834	Victor Burgin	415	20th century post-1945	421	Conceptual Art
68	Sir Edward Coley Burne-Jones, Bt	350	19th century	16649	Symbolism
68	Sir Edward Coley Burne-Jones, Bt	350	19th century	363	Pre-Raphaelite
837	Edward Burra	8	20th century 1900-1945	1688	British Surrealism
837	Edward Burra	8	20th century 1900-1945	321	Unit One
838	Alberto Burri	415	20th century post-1945	9378	Origine group
838	Alberto Burri	415	20th century post-1945	8454	Art Informel
70	William Shakespeare Burton	350	19th century	363	Pre-Raphaelite
841	Pol Bury	415	20th century post-1945	12072	Kinetic Art
843	Simon Bussy	8	20th century 1900-1945	295	Bloomsbury Group
844	Reg Butler	415	20th century post-1945	424	Geometry of Fear
10611	Claude Cahun	8	20th century 1900-1945	320	Surrealism
848	Alexander Calder	8	20th century 1900-1945	298	Constructivism
848	Alexander Calder	415	20th century post-1945	12072	Kinetic Art
848	Alexander Calder	8	20th century 1900-1945	16667	Abstraction-Création
77	Philip Hermogenes Calderon	350	19th century	8064	Victorian/Genre
77	Philip Hermogenes Calderon	350	19th century	366	St John's Wood Clique
2692	Sophie Calle	415	20th century post-1945	421	Conceptual Art
81	Edward Calvert	350	19th century	368	Shoreham / The Ancients
2385	James Campbell	350	19th century	8064	Victorian/Genre
859	José Cardoso Junior	8	20th century 1900-1945	1690	Naive
865	Sir Anthony Caro	415	20th century post-1945	433	New Generation Sculpture
7615	Leonora Carrington	8	20th century 1900-1945	320	Surrealism
869	B.A.R. Carter	8	20th century 1900-1945	304	Euston Road School
2484	Thomas Carwitham	289	16th and 17th century	404	Mannerist
873	Patrick Caulfield	415	20th century post-1945	1683	British Pop
878	César (César Baldaccini)	415	20th century post-1945	434	Nouveau Réalisme
879	Paul Cézanne	350	19th century	4229	Post-Impressionism
2253	Helen Chadwick	415	20th century post-1945	1680	Body Art
2253	Helen Chadwick	415	20th century post-1945	16666	Abject art
880	Lynn Chadwick	415	20th century post-1945	424	Geometry of Fear
880	Lynn Chadwick	415	20th century post-1945	12072	Kinetic Art
4335	Dinos Chapman	415	20th century post-1945	11857	Young British Artists (YBA)
4335	Dinos Chapman	415	20th century post-1945	12072	Kinetic Art
4335	Dinos Chapman	415	20th century post-1945	16666	Abject art
2614	Jake Chapman	415	20th century post-1945	16666	Abject art
2614	Jake Chapman	415	20th century post-1945	11857	Young British Artists (YBA)
2614	Jake Chapman	415	20th century post-1945	12072	Kinetic Art
94	Louis Chéron	289	16th and 17th century	403	Italian-trained, working in Britain
94	Louis Chéron	289	16th and 17th century	401	French-trained, working in Britain
94	Louis Chéron	289	16th and 17th century	398	Baroque
899	Sandro Chia	415	20th century post-1945	12069	Transavanguardia
899	Sandro Chia	415	20th century post-1945	431	Neo-Expressionism
904	John Christie	415	20th century post-1945	421	Conceptual Art
905	Christo (Christo Javacheff)	415	20th century post-1945	429	Land Art
905	Christo (Christo Javacheff)	415	20th century post-1945	422	Environmental Art
905	Christo (Christo Javacheff)	415	20th century post-1945	434	Nouveau Réalisme
2485	Giovanni Battista Cipriani	290	18th century	344	Neo-Classicism
910	Judy Clark	415	20th century post-1945	1680	Body Art
912	Geoffrey Clarke	415	20th century post-1945	424	Geometry of Fear
96	Sir George Clausen	350	19th century	6196	British Impressionism
96	Sir George Clausen	8	20th century 1900-1945	10525	British War Art
96	Sir George Clausen	350	19th century	359	New English Art Club
96	Sir George Clausen	350	19th century	365	Rural Naturalism
917	Francesco Clemente	415	20th century post-1945	431	Neo-Expressionism
917	Francesco Clemente	415	20th century post-1945	12069	Transavanguardia
921	Prunella Clough	8	20th century 1900-1945	312	Neo-Romanticism
924	Bernard Cohen	415	20th century post-1945	442	Situation
925	Harold Cohen	415	20th century post-1945	442	Situation
926	Peter Coker	415	20th century post-1945	427	Kitchen Sink Art
927	Sir William Coldstream	8	20th century 1900-1945	304	Euston Road School
927	Sir William Coldstream	8	20th century 1900-1945	10525	British War Art
929	Ettore Colla	415	20th century post-1945	9378	Origine group
100	Edward Collier	289	16th and 17th century	406	Netherlands-trained, working in Britain
100	Edward Collier	289	16th and 17th century	413	Later Stuart
930	Cecil Collins	8	20th century 1900-1945	312	Neo-Romanticism
930	Cecil Collins	8	20th century 1900-1945	1688	British Surrealism
104	Charles Allston Collins	350	19th century	363	Pre-Raphaelite
2214	James Collinson	350	19th century	363	Pre-Raphaelite
2214	James Collinson	350	19th century	8064	Victorian/Genre
2588	Mat Collishaw	415	20th century post-1945	11857	Young British Artists (YBA)
106	Samuel Colman (or Coleman)	350	19th century	353	Bristol School
931	Ithell Colquhoun	8	20th century 1900-1945	1688	British Surrealism
932	Robert Colquhoun	8	20th century 1900-1945	1688	British Surrealism
932	Robert Colquhoun	8	20th century 1900-1945	312	Neo-Romanticism
934	Charles Conder	350	19th century	351	Aesthetic Movement
934	Charles Conder	350	19th century	16649	Symbolism
934	Charles Conder	350	19th century	16650	Decadence
934	Charles Conder	350	19th century	16651	Fin de Siècle
937	Constant (Constant A. Nieuwenhuys)	415	20th century post-1945	420	Cobra
2392	Magda Cordell	415	20th century post-1945	425	Independent Group
945	Guillaume Corneille	415	20th century post-1945	420	Cobra
946	Joseph Cornell	8	20th century 1900-1945	320	Surrealism
2315	Richard Cosway	290	18th century	6210	Grand Manner
116	John Sell Cotman	350	19th century	362	Norwich School
117	David Cox	290	18th century	345	Picturesque
951	Stephen Cox	415	20th century post-1945	1682	New British Sculpture
2291	Marmaduke Cradock	289	16th and 17th century	413	Later Stuart
953	Tony Cragg	415	20th century post-1945	1682	New British Sculpture
955	Michael Craig-Martin	415	20th century post-1945	421	Conceptual Art
957	Joseph Crawhall	350	19th century	356	Glasgow School
958	John Craxton	8	20th century 1900-1945	312	Neo-Romanticism
2760	Martin Creed	415	20th century post-1945	421	Conceptual Art
122	Thomas Creswick	350	19th century	8064	Victorian/Genre
960	Roberto Crippa	415	20th century post-1945	4246	Spazialismo
126	John Crome	350	19th century	362	Norwich School
126	John Crome	290	18th century	349	Sublime
125	John Berney Crome	350	19th century	362	Norwich School
2357	Dorothy Cross	8	20th century 1900-1945	320	Surrealism
962	Jean Crotti	8	20th century 1900-1945	300	Dada
964	Carlos Cruz-Diez	415	20th century post-1945	435	Optical Art
2292	Michael Dahl	289	16th and 17th century	413	Later Stuart
2292	Michael Dahl	289	16th and 17th century	12493	Swedish-trained, working in Britain
971	Salvador Dalí	8	20th century 1900-1945	320	Surrealism
133	Edward Dalziel	350	19th century	8064	Victorian/Genre
135	Francis Danby	350	19th century	353	Bristol School
136	Sir Nathaniel Dance-Holland	290	18th century	344	Neo-Classicism
976	Hanne Darboven	415	20th century post-1945	421	Conceptual Art
2295	Grenville Davey	415	20th century post-1945	1682	New British Sculpture
2667	Peter Davies	415	20th century post-1945	11857	Young British Artists (YBA)
981	Gene Davis	415	20th century post-1945	439	Post Painterly Abstraction
141	William Davis	350	19th century	363	Pre-Raphaelite
902	Giorgio de Chirico	8	20th century 1900-1945	320	Surrealism
902	Giorgio de Chirico	8	20th century 1900-1945	12734	Metaphysical Art
902	Giorgio de Chirico	8	20th century 1900-1945	16138	Scuola Romana
1385	Stanislawa De Karlowska	8	20th century 1900-1945	297	Camden Town Group
1385	Stanislawa De Karlowska	8	20th century 1900-1945	9312	London Group
145	Philip James De Loutherbourg	290	18th century	345	Picturesque
145	Philip James De Loutherbourg	290	18th century	349	Sublime
986	Richard Deacon	415	20th century post-1945	1682	New British Sculpture
988	Edgar Degas	350	19th century	357	Impressionism
992	Robert Delaunay	8	20th century 1900-1945	299	Cubism
992	Robert Delaunay	8	20th century 1900-1945	314	Orphic Cubism
993	Sonia Delaunay	8	20th century 1900-1945	314	Orphic Cubism
994	Paul Delvaux	8	20th century 1900-1945	320	Surrealism
995	Gunter Demnig	415	20th century post-1945	421	Conceptual Art
995	Gunter Demnig	415	20th century post-1945	436	Performance Art
995	Gunter Demnig	415	20th century post-1945	12072	Kinetic Art
997	Robyn Denny	415	20th century post-1945	442	Situation
997	Robyn Denny	415	20th century post-1945	443	Tachisme
998	André Derain	8	20th century 1900-1945	306	Fauvism
998	André Derain	8	20th century 1900-1945	1685	Return to Order
998	André Derain	8	20th century 1900-1945	311	Modern Realism
146	David Des Granges	289	16th and 17th century	412	Early Stuart
147	Walter Howell Deverell	350	19th century	363	Pre-Raphaelite
2799	Arthur Devis	290	18th century	340	Conversation Piece
1002	Jan Dibbets	415	20th century post-1945	429	Land Art
149	Sir Frank Dicksee	350	19th century	363	Pre-Raphaelite
1005	Michael Dillon	415	20th century post-1945	435	Optical Art
1008	Braco Dimitrijevic	415	20th century post-1945	421	Conceptual Art
1009	Jim Dine	415	20th century post-1945	437	Pop Art
1012	Jessica Dismorr	8	20th century 1900-1945	322	Vorticism
1014	Frank Dobson	8	20th century 1900-1945	303	Direct Carving
153	William Dobson	289	16th and 17th century	399	Civil War and Commonwealth
153	William Dobson	289	16th and 17th century	412	Early Stuart
1015	Francis Dodd	350	19th century	359	New English Art Club
1016	John Dodgson	8	20th century 1900-1945	304	Euston Road School
1017	Theo van Doesburg	8	20th century 1900-1945	1686	De Stijl
1020	Antony Donaldson	415	20th century post-1945	1683	British Pop
1021	Piero Dorazio	415	20th century post-1945	435	Optical Art
1024	Gerardo Dottori	8	20th century 1900-1945	307	Futurism
1026	Gianni Dova	415	20th century post-1945	4156	Arte Nucleare
1026	Gianni Dova	415	20th century post-1945	4246	Spazialismo
2679	Simon Du Bois	289	16th and 17th century	413	Later Stuart
1035	Jean Dubuffet	415	20th century post-1945	8454	Art Informel
1035	Jean Dubuffet	8	20th century 1900-1945	16669	Art Brut
1036	Marcel Duchamp	8	20th century 1900-1945	300	Dada
1036	Marcel Duchamp	8	20th century 1900-1945	299	Cubism
1037	Raymond Duchamp-Villon	8	20th century 1900-1945	299	Cubism
1038	Raoul Dufy	8	20th century 1900-1945	306	Fauvism
1041	Evelyn Dunbar	8	20th century 1900-1945	10525	British War Art
164	William Dyce	350	19th century	363	Pre-Raphaelite
169	Augustus Leopold Egg	350	19th century	8064	Victorian/Genre
169	Augustus Leopold Egg	350	19th century	354	The Clique
170	William Maw Egley	350	19th century	8064	Victorian/Genre
8145	Nusch Eluard	8	20th century 1900-1945	320	Surrealism
8147	Paul Eluard	8	20th century 1900-1945	320	Surrealism
2590	Tracey Emin	415	20th century post-1945	11857	Young British Artists (YBA)
2590	Tracey Emin	415	20th century post-1945	12081	Feminist Art
2590	Tracey Emin	415	20th century post-1945	16666	Abject art
1061	Sir Jacob Epstein	8	20th century 1900-1945	9312	London Group
1061	Sir Jacob Epstein	8	20th century 1900-1945	10525	British War Art
1061	Sir Jacob Epstein	8	20th century 1900-1945	322	Vorticism
1061	Sir Jacob Epstein	8	20th century 1900-1945	303	Direct Carving
1064	John Ernest	415	20th century post-1945	419	British Constructivism
1065	Max Ernst	8	20th century 1900-1945	320	Surrealism
1065	Max Ernst	8	20th century 1900-1945	300	Dada
172	William Etty	350	19th century	364	Romanticism
1071	Richard Eurich	8	20th century 1900-1945	10525	British War Art
12939	Ruth Ewan	415	20th century post-1945	16666	Abject art
173	Hans Eworth	289	16th and 17th century	414	Tudor
6411	VALIE EXPORT	415	20th century post-1945	436	Performance Art
6411	VALIE EXPORT	415	20th century post-1945	12081	Feminist Art
1076	Luciano Fabro	415	20th century post-1945	421	Conceptual Art
1076	Luciano Fabro	415	20th century post-1945	418	Arte Povera
174	Thomas Faed	350	19th century	8064	Victorian/Genre
175	Robert Fagan	290	18th century	344	Neo-Classicism
2591	Angus Fairhurst	415	20th century post-1945	11857	Young British Artists (YBA)
1081	Jean Fautrier	415	20th century post-1945	443	Tachisme
1081	Jean Fautrier	415	20th century post-1945	8454	Art Informel
1087	Paul Feiler	415	20th century post-1945	441	St Ives School
1087	Paul Feiler	415	20th century post-1945	443	Tachisme
179	William Gow Ferguson	289	16th and 17th century	413	Later Stuart
1089	J.D. Fergusson	8	20th century 1900-1945	303	Direct Carving
1089	J.D. Fergusson	350	19th century	367	Scottish Colourists
4745	Rose Finn-Kelcey	415	20th century post-1945	436	Performance Art
1095	Brian Fisher	8	20th century 1900-1945	298	Constructivism
1098	Roy Fisher	415	20th century post-1945	421	Conceptual Art
1100	Barry Flanagan	415	20th century post-1945	421	Conceptual Art
1100	Barry Flanagan	415	20th century post-1945	1682	New British Sculpture
1100	Barry Flanagan	415	20th century post-1945	418	Arte Povera
1101	Dan Flavin	415	20th century post-1945	430	Minimalism
186	John Flaxman	290	18th century	344	Neo-Classicism
187	Mary Sargant Florence	350	19th century	359	New English Art Club
1102	Lucio Fontana	415	20th century post-1945	4246	Spazialismo
1103	Jean-Louis Forain	350	19th century	357	Impressionism
1105	Eric Forbes-Robertson	350	19th century	4229	Post-Impressionism
1105	Eric Forbes-Robertson	350	19th century	16649	Symbolism
190	Stanhope Alexander Forbes	350	19th century	360	Newlyn School
190	Stanhope Alexander Forbes	350	19th century	8064	Victorian/Genre
191	Edward Onslow Ford	350	19th century	361	New Sculpture
1107	Andrew Forge	8	20th century 1900-1945	9312	London Group
2772	André Fougeron	8	20th century 1900-1945	12699	Socialist Realism
1108	Douglas Fox Pitt	8	20th century 1900-1945	9312	London Group
1113	Sam Francis	415	20th century post-1945	416	Abstract Expressionism
1116	Barnett Freedman	8	20th century 1900-1945	10525	British War Art
2330	French School 18th century	289	16th and 17th century	401	French-trained, working in Britain
1120	Lucian Freud	415	20th century post-1945	1666	School of London
194	William Powell Frith	350	19th century	354	The Clique
194	William Powell Frith	350	19th century	8064	Victorian/Genre
1126	Sir Terry Frost	415	20th century post-1945	419	British Constructivism
1126	Sir Terry Frost	415	20th century post-1945	441	St Ives School
1126	Sir Terry Frost	415	20th century post-1945	443	Tachisme
1129	Roger Fry	8	20th century 1900-1945	295	Bloomsbury Group
196	Isaac Fuller	289	16th and 17th century	411	Restoration
1132	Sue Fuller	415	20th century post-1945	12072	Kinetic Art
1133	Hamish Fulton	415	20th century post-1945	429	Land Art
198	Henry Fuseli	350	19th century	364	Romanticism
1137	Naum Gabo	8	20th century 1900-1945	16667	Abstraction-Création
1137	Naum Gabo	415	20th century post-1945	12072	Kinetic Art
1137	Naum Gabo	8	20th century 1900-1945	298	Constructivism
1137	Naum Gabo	415	20th century post-1945	419	British Constructivism
1137	Naum Gabo	415	20th century post-1945	441	St Ives School
199	Thomas Gainsborough	290	18th century	341	Fancy Picture
199	Thomas Gainsborough	290	18th century	345	Picturesque
199	Thomas Gainsborough	290	18th century	346	Rococo
200	William Gale	350	19th century	8064	Victorian/Genre
1141	Jedd Garet	415	20th century post-1945	431	Neo-Expressionism
203	Norman Garstin	350	19th century	360	Newlyn School
1142	David Gascoyne	8	20th century 1900-1945	1688	British Surrealism
1143	Henri Gaudier-Brzeska	8	20th century 1900-1945	303	Direct Carving
1143	Henri Gaudier-Brzeska	8	20th century 1900-1945	322	Vorticism
1144	Paul Gauguin	350	19th century	4229	Post-Impressionism
1144	Paul Gauguin	350	19th century	16649	Symbolism
1146	William Gear	415	20th century post-1945	420	Cobra
1146	William Gear	415	20th century post-1945	424	Geometry of Fear
2352	Benedetto Gennari	289	16th and 17th century	413	Later Stuart
2352	Benedetto Gennari	289	16th and 17th century	400	Court
2352	Benedetto Gennari	289	16th and 17th century	403	Italian-trained, working in Britain
1151	Patrick George	8	20th century 1900-1945	304	Euston Road School
1156	Mark Gertler	8	20th century 1900-1945	295	Bloomsbury Group
206	Marcus Gheeraerts II	289	16th and 17th century	400	Court
206	Marcus Gheeraerts II	289	16th and 17th century	412	Early Stuart
206	Marcus Gheeraerts II	289	16th and 17th century	414	Tudor
1159	Alberto Giacometti	8	20th century 1900-1945	320	Surrealism
2329	Henry Gibbs	289	16th and 17th century	399	Civil War and Commonwealth
1163	Gilbert & George	415	20th century post-1945	16666	Abject art
1163	Gilbert & George	415	20th century post-1945	436	Performance Art
208	Sir Alfred Gilbert	350	19th century	361	New Sculpture
208	Sir Alfred Gilbert	350	19th century	16651	Fin de Siècle
208	Sir Alfred Gilbert	350	19th century	16650	Decadence
208	Sir Alfred Gilbert	350	19th century	8064	Victorian/Genre
208	Sir Alfred Gilbert	350	19th century	16649	Symbolism
1165	Stephen Gilbert	415	20th century post-1945	420	Cobra
1168	Eric Gill	8	20th century 1900-1945	303	Direct Carving
2592	Liam Gillick	415	20th century post-1945	11857	Young British Artists (YBA)
1172	Harold Gilman	8	20th century 1900-1945	297	Camden Town Group
1175	Charles Ginner	8	20th century 1900-1945	10525	British War Art
1175	Charles Ginner	8	20th century 1900-1945	297	Camden Town Group
1176	Edward Giobbi	415	20th century post-1945	437	Pop Art
211	Thomas Girtin	290	18th century	349	Sublime
1178	Albert Gleizes	8	20th century 1900-1945	299	Cubism
1179	Alfred Glendening	350	19th century	8064	Victorian/Genre
1182	Vincent van Gogh	350	19th century	4229	Post-Impressionism
1186	Natalya Goncharova	8	20th century 1900-1945	316	Rayonism
1186	Natalya Goncharova	350	19th century	4229	Post-Impressionism
214	Frederick Goodall	350	19th century	8064	Victorian/Genre
1190	Spencer Gore	8	20th century 1900-1945	297	Camden Town Group
1191	Arshile Gorky	415	20th century post-1945	416	Abstract Expressionism
1192	Antony Gormley	415	20th century post-1945	1682	New British Sculpture
217	Thomas Cooper Gotch	350	19th century	360	Newlyn School
1195	Adolph Gottlieb	415	20th century post-1945	416	Abstract Expressionism
2203	Karl-Otto Götz	8	20th century 1900-1945	320	Surrealism
220	George Gower	289	16th and 17th century	414	Tudor
1197	Sir Lawrence Gowing	8	20th century 1900-1945	304	Euston Road School
1198	Camille Graeser	8	20th century 1900-1945	298	Constructivism
1199	Gerhard von Graevenitz	415	20th century post-1945	12072	Kinetic Art
1200	Dan Graham	415	20th century post-1945	421	Conceptual Art
1203	Duncan Grant	8	20th century 1900-1945	295	Bloomsbury Group
8175	Andrew Grassie	415	20th century post-1945	421	Conceptual Art
2690	John Greenhill	289	16th and 17th century	413	Later Stuart
1218	Maurice Greiffenhagen	8	20th century 1900-1945	10525	British War Art
224	Jan Griffier I	289	16th and 17th century	413	Later Stuart
1221	Juan Gris	8	20th century 1900-1945	299	Cubism
1222	Anthony Gross	8	20th century 1900-1945	10525	British War Art
1223	George Grosz	8	20th century 1900-1945	308	German Expressionism
1225	Francis Gruber	8	20th century 1900-1945	12699	Socialist Realism
6858	Guerrilla Girls	415	20th century post-1945	12081	Feminist Art
1228	Armand Guillaumin	350	19th century	357	Impressionism
