artwork.id,artwork.title,afinn_111_score,afinn_111_comparative
60263,River Banks,0,0
60188,"Buildings. Rimberg, Etc.",0,0
60267,River Banks. ?Weinhoff [Turner],0,0
60222,River Banks. Oppenheim [Turner],0,0
60254,Views on Rhine. Sinzig [Turner],0,0
60213,Mountains,0,0
60281,"Wooden Hut, among Mountains",0,0
60233,Views on Rhine,0,0
60266,River Banks,0,0
60237,Views on Rhine. ?Amburg [Turner],0,0
60228,Views on Rhine. Godesberg [Turner],0,0
60255,"Views on Rhine. Linz, Ockenfels [Turner], Etc.",0,0
60240,Views on Rhine,0,0
60239,Views on Rhine,0,0
60230,"Bridge, with Tower; Also View of Ostend [Turner]",0,0
60262,Views of Town,0,0
60223,River Banks. Unck. [Turner] (?Unkel),0,0
60234,Views on Rhine,0,0
60274,"Lucerne, with Pilatus",0,0
60260,"Bridge, Etc.",0,0
60185,Buildings,0,0
60241,Views on Rhine,0,0
60271,"Towers and Other Buildings, Etc.",0,0
60235,Views on Rhine,0,0
60256,"Views on Rhine. Erin (Ehrenbreitstein), Rheineck, Ham [Turner] (Hammerstein)",0,0
60221,River Banks,0,0
60280,Mountains,0,0
60219,River Banks. ?Algar and Hurel... [Turner],0,0
60252,Views on Rhine. Neuweid [Turner],0,0
60190,Buildings,0,0
60187,Fortress on Rock. (?Ehrenbreitstein),0,0
60227,Views on Rhine,0,0
60248,"Views on Rhine. Oberspey [Turner] (Oberspei, between Braubach and Boppard)",0,0
60279,Lucerne,0,0
60272,"Clouds, Etc.",0,0
60224,"Lintz [Turner], Etc.",0,0
60277,Lucerne,0,0
60214,"Bridge, with Town and Mountains. ?Keran [Turner]",0,0
60186,Ruins on Rock,-2,-0.6666666666666666
60251,Views on Rhine,0,0
60236,Views on Rhine,0,0
60220,"Town, from River. (?Coblenz)",0,0
60264,River Banks. Oppenheim [Turner],0,0
60244,Views on Rhine,0,0
60270,Sketches at ?Berne,0,0
60238,"Views on Rhine. ?Fisenback, Bal [Turner]",0,0
60189,"Quay, with Church, Etc.",0,0
60257,Views on Rhine,0,0
60226,Views on Rhine,0,0
60245,Views on Rhine. Coln [Turner],0,0
60275,Buildings; Also View of Lake,0,0
60253,Views on Rhine. Rolandseck [Turner],0,0
60202,"Castle, with Mountains",0,0
55590,The Town of Luxembourg and the Buildings of the Rham and Grund from the Porte de Trèves,0,0
55558,Two Views of Roussy-le-Bourg and Roussy-le-Village (between Thionville and Luxembourg),0,0
55586,"The Rham and the Bock, Luxembourg, from the Fetschenhof",0,0
55601,"The Grünewald, Bock and Luxembourg Town from the North, beyond the Vauban Towers",0,0
55598,Overlapping Sketches of Luxembourg,0,0
55520,"Notre-Dame, Mézières, from the South-East with the Pont de Pierre in the Foreground",0,0
55551,Metz Cathedral and Bridge over the Moselle,0,0
55607,?View of Luxembourg from the North,0,0
55574,"Trier from the Hillside above Pallien, Looking Down on to the White House and up the Mosel to the Roman Bridge",0,0
55538,Metz Cathedral and a Bridge over the Moselle,0,0
55556,"Two Views of Thionville from the Moselle, Showing the Towers of St Maximin's Church, the Belfry and the Town Hall of 1695",0,0
55603,Fortifications at Luxembourg and a Plan of its Situation,0,0
55610,"Magdalen Tower, Bridge, Etc., Oxford",0,0
55545,Bridge over a River,0,0
55595,"The Bock, Luxembourg, and St John's Church, from the South-West",0,0
55549,"(1) The Citadel of St-Etienne, Luxembourg, from the South (Boulevard d'Avranches); (2) The Jesuits' Church, Luxembourg, and Surrounding Buildings",0,0
55536,"Metz with a Bridge, St Vincent's Church and the Cathedral",0,0
55522,(1) Sedan from the South-East (outside the Porte de Bouillon) with Towers of St Charles's Church and Fortress; (2) Sedan; (3) Sedan from the North-East; (4) The Roman Bridge at Trier Looking up the Mosel,0,0
55544,Two Distant Views of Thionville from the Moselle,0,0
55571,The West Choir and Towers of Trier Cathedral and the Adjacent Liebfrauenkirche,0,0
55575,"Trier from the Mosel, near Pallien",0,0
55539,Towers,0,0
55542,Figures around a Vehicle in a Town Square,0,0
55589,"The Town of Luxembourg, the Rham and the Bock from outside the Porte de Trèves",0,0
55521,(1) Sedan from the South-East (outside the Porte de Bouillon) with Towers of St Charles's Church and Fortress; (2) Sedan; (3) Sedan from the North-East,0,0
55587,"The Bock, Luxembourg, with the Grünewald in the Distance",0,0
55593,"St Michael's Church, the Pont du Château and Bock, Luxembourg, Looking North-Eastwards along the Valley of the Alzette",0,0
55541,Distant View of Metz,0,0
55585,Luxembourg with Vauban's Towers on the Plateau of the Rham from the Alzette Valley,0,0
55572,The West Choir and Towers of Trier Cathedral and the Adjacent Liebfrauenkirche,0,0
55527,"Sedan from the North-East, Looking Down on to the Fortress and the Towers of St Charles's Church",0,0
55613,Klotten and Burg Coraidelstein,0,0
55609,River View with Wooden Bridge and Distant Towers,0,0
55548,"Two Sketches of the Fortifications of the Bock, Luxembourg",0,0
55565,Trier from Pallien Looking up the Mosel to the Roman Bridge,0,0
55553,Metz Cathedral from the South-West and Bridge over the Moselle,0,0
55529,Distant View of Sedan from the North-East,0,0
55578,"The Northern Part of Trier from the Mosel, Looking Upstream",0,0
55614,"(1) Cochem, Looking Downstream (plus Sketch of the Burg); (2) Cochem, Looking Downstream from closer to the Town than (1); (3) Cochem, Looking Downstream from slightly closer to the Town than (2)",0,0
55591,"The Bock and the Grünewald, Luxembourg, from the Hillside East of the Rham",0,0
55519,"(1) Metz with the Cathedral, Bridge over the Moselle and Church of St Vincent; (2) ?Metz",0,0
55555,"The Market Place at Thionville, Looking towards the Towers of St Maximin's Church and the Belfry of the Sixteenth-Century Town Hall",0,0
55577,"Trier from Pallien, Looking up the Mosel to the Bridge in the Distance",0,0
55532,"Four Views of Verdun, One of a Pedimented Doorway",0,0
55612,"Three Sketches of the Mosel, Each Showing a Distant Castle and a Boat in the Foreground",0,0
55540,Distant View of Metz from a Hillside Cemetery to the North,0,0
55566,"The Ruins of the Imperial Baths, Trier",-2,-0.2857142857142857
55617,"(1) Sailing Boats with Awnings, a Crock and a Barrel; (2) Figures in a Boat with ?Klotten in the Distance, Looking Upstream; (3) The Ruined Convent at Stuben, Kloster Stuben (plus a Larger Sketch of the Ruin)",-4,-0.10810810810810811
55535,"Distant View of Metz with a Bridge over the Moselle, the Towers of St Vincent's Church, and the Cathedral of St-Etienne",0,0
55594,Luxembourg,0,0
55592,"The Rham, Luxembourg, and the Bock from the Hillside East of the Rham",0,0
55618,"(1)-(4) The Marienburg and its Surroundings; (5) The Bridge over the Alf at Alf and Burg Arras; (6) Alf, with its Bridge, Church and Houses",0,0
55525,"The Roman Bridge at Trier Looking Upstream (Continued Above and Below, the Latter Sketch Including Buildings of the City)",0,0
55576,"View down the Mosel from the Napoleonsbrücke with the Church of SS Simon and Jude, Pallien, in the Foreground",0,0
55599,"The Bock, Pont du Château and Spanish Turret, Luxembourg, from the North",0,0
55600,"The Grünewald, Bock, Pont du Château and Town of Luxembourg from the North, along the Valley of the Alzette beyond the Bridge with the Vauban Towers",0,0
55597,Overlapping Sketches of Luxembourg,0,0
55531,"1) View across Meuse at Verdun Showing Wooden Bridge, Porte Chaussée, Jesuits' Church and Cathedral of Notre-Dame; (2) Details of Jesuit's Church and Cathedral",0,0
55579,"The Southern Part of Trier from the Mosel, Looking Upstream",0,0
55537,(1) Metz Cathedral and Fortifications; (2) Metz Cathedral and Bridges over the Moselle,0,0
55550,(1) Luxembourg with the Outer Porte de Thionville in the Foreground; (2) Luxembourg from the South,0,0
55605,"View at Luxembourg, along the Alzette Valley",0,0
55530,Verdun from the Meuse about a Mile to its North,0,0
55568,"Trier from the Mosel Showing St Paulin's Church, the Porta Nigra, the Cathedral, Liebfrauenkirche, St Gangolf's Church and Basilica",0,0
55552,Metz Cathedral from the Corner of the Place d'Armes,0,0
55554,View at Metz from the Rue de la Garde Looking down the Moselle under its Four Bridges and (Centre) at the Towers of St Vincent's Church,0,0
55526,"The Roman Bridge at Trier, Looking Upstream",0,0
55611,A Roadside Inn,0,0
55608,Two Sketches of Buildings,0,0
55547,"(1) The Citadel of St-Esprit, Luxembourg, and St Michael's Church from the Rham; (2) The Fortifications of the Bock, Luxembourg (Continuation of (1))",0,0
55596,"The Pont du Château, Luxembourg, Looking North-Eastwards to the Rham",0,0
55582,"(1) Trier from across the Mosel near the White House; (2) The River, Walls and Towers of Trier with its Cranes and Bridge, Looking up the Mosel; (3) Trier",0,0
55557,Two Views of Roussy-le-Bourg and Roussy-le-Village (between Thionville and Luxembourg),0,0
55563,?Roman Ruins at Trier,-2,-0.5
55606,"View at Luxembourg, along the Alzette Valley",0,0
55583,"(1) Trier from across the Mosel near the White House; (2) The River, Walls and Towers of Trier with its Crane and Bridge, Looking up the Mosel; (3) Trier",0,0
55602,"The Grünewald, Bock and Luxembourg Town from the North, beyond the Vauban Towers",0,0
55533,Countryside near Verdun,0,0
55569,"(1) Trier from the North-West, Looking up the Mosel to the Bridge; (2) Trier from the West, Looking down the Mosel towards the Cliffs at Pallien",0,0
55543,Three Distant Views of Thionville,0,0
55528,?Sedan with the Viaduct of Torcy,0,0
55523,"Notre Dame, Mézières, from the South-East (Rue Monge), Showing the Porch of the South Transept and Tower, with the Porte de St-Julien in the Distance",0,0
55604,"View from the Grünewald of the Bock, the Rham and Luxembourg Town",0,0
55534,Countryside near Verdun,0,0
55616,"(1) Gondorf and Niederfell, Looking Downstream; (2) View up the Rhine from the Landing-Stage at Coblenz, with the Bridge of Boats at Ehrenbreitstein",0,0
55588,"The Rham and the Bock, Luxembourg, from the Fetschenhof",0,0
55615,"(1) Mosel Scene with Distant Buildings; (2) Figures and Boats; (3) Figures on Board Boat Laden with Barrels; (4) Cochem, Looking Upstream; (5) Hills and Church",0,0
45141,Buildings on Bank of River,0,0
45131,"Landscape, with Trees and Building with Classical Portico in Middle Distance",0,0
45121,A Storm off the Coast: ?Study for 'Sheerness',0,0
45086,Castle and Other Buildings on Cliff,0,0
45102,Studies for Classical Compositions,0,0
45108,Studies for Classical Compositions,0,0
45128,Five Studies of Skies,0,0
45123,River Scene (1): ?Yorkshire,0,0
45094,Boat Taking in Sail,0,0
45092,Dover Castle from Shakespeare Cliff,0,0
45124,River Scene (2),0,0
45096,"Avenue of Trees, with Castle in Distance",0,0
45120,Boats in a Squall: ?Study for 'Mouth of the Humber',0,0
45129,Three Designs for Classical Subjects,0,0
45090,"Sands, with Shipping, Etc., Seen from Cliffs. ?A View of Hastings",0,0
45125,River Scene (3),0,0
45068,Sion Ferry House and the Pavilion at Isleworth,0,0
45134,Barges or House Boats,0,0
45137,Design for Classical Composition (?Dido Directing Equipment of Fleet),0,0
45070,Figure Fishing in a Boat on the Thames Near Isleworth,0,0
45097,Study of Clouds,0,0
45093,"Group of Buildings, Etc.",0,0
45140,River Scene,0,0
45081,Evening,0,0
45130,"Landscape with Trees, Studies of Clouds, Etc.",0,0
45076,"Sea-Piece, with Castle on White Cliffs in Distance",0,0
45151,Moonrise. Winsor Moon [Turner],0,0
45119,Study for a Boat,0,0
45080,"Harbour, with Vessels",0,0
45116,Folkestone [Turner],0,0
45113,Portsmouth; Preparatory Study,0,0
45087,Castle on Cliff,0,0
45115,Folkestone,0,0
45066,Scene on the Thames with Boats,0,0
45082,"Sea-Piece, with Land in Distance",0,0
45069,Figures in a Boat,0,0
45122,The Landing of George IV at Leith,0,0
45073,Banks of the Thames Near Isleworth,0,0
45077,Sea-Piece,0,0
45088,"Dover, from the Sea",0,0
45118,Study of a Boat,0,0
45110,Studies for Classical Compositions,0,0
45084,Castle on Sea Coast,0,0
45133,Study for Classical Composition,0,0
45089,"Landscape, with Buildings",0,0
45104,Studies for Classical Compositions,0,0
45112,Studies for Classical Compositions,0,0
45143,A Bridge (?Kew Bridge),0,0
45083,Sea-Piece and Stormy Sky,0,0
45075,"View across Country, with River in Foreground",0,0
45100,Study for a Picture,0,0
45117,Study of a Boat,0,0
45126,River Scene (4),0,0
45139,Trees by the Water-Side,0,0
45114,"Cliffs, from the Sea",0,0
45078,Sea-Piece,0,0
45091,Storm at Sea,0,0
45106,Studies for Classical Compositions,0,0
45085,Castle on Cliff in Mid-Distance,0,0
45132,"Landscape, with Trees and Building with Classical Portico in Middle Distance",0,0
45095,Design for a Picture,0,0
45079,"Sea-Piece, with Sailing Boat",0,0
58897,Town,0,0
58894,"Town, beside River, in Valley Surrounded by Mountains",0,0
58901,Mountains,0,0
58831,"Bridge and Buildings, Etc.",0,0
58913,Valley with Castles on Mountains,0,0
58921,"Street Scene, with Churches, Etc.",0,0
58899,"Castle on Rock, Waterfall, Etc.",0,0
58848,Mountains,0,0
58861,Mountains. Primolano ... [Turner],0,0
58900,"Street Scene, View of Town beside ?Lake, Etc.",0,0
58858,"Mountains, Etc. C... De Firma [Turner]",0,0
58877,Mountains,0,0
58909,"Castle on Mountain, with Town Below, beside Lake",0,0
58832,"Town, with Distant Mountains. ?Vileron [Turner]",0,0
58911,View of Castle,0,0
58870,Mountains,0,0
58896,Town,0,0
58876,Houses and Mountains,0,0
58887,Houses among Mountains,0,0
58866,Castle on Rock,0,0
58843,Mountains,0,0
58864,Mountains,0,0
58881,Mountains,0,0
58859,?Piazza alla Parrocessia [Turner],0,0
58882,Mountains,0,0
58923,"The Hezog Friedrich-Strasse, Innsbruck",0,0
58879,Street Scene; Also Mountains,0,0
58840,Mountains,0,0
58916,"Valley, with Castle on Mountain",0,0
58841,Mountains,0,0
58867,"Valley, with Mountains, Also Castle on Rock. Sigmundscron [Turner] (Sigmundskron, near Botzen)",0,0
58838,Views of Town,0,0
58857,Mountains,0,0
58904,"Mountains, Etc.",0,0
58863,"Mountains, with Lago di Levico [Turner]",0,0
58835,Group of Buildings,0,0
58902,"River, with Town",0,0
58851,"Town in Valley, with Mountains Beyond",0,0
58856,Mountains,0,0
58920,Street Scene and Mountains,0,0
58847,Mountains,0,0
58884,Mountain Scenes,0,0
58855,Mountains,0,0
58849,Mountains. Scala [Turner],0,0
58873,"Valley, with Mountains",0,0
58825,"The Grand Canal, with the Rialto",3,0.5
58885,"Town in Valley, Surrounded by Mountains",0,0
58834,Group of Buildings,0,0
58860,Tyrolese Peasants; Mountains at Borgo; Also Castle near Levico [Turner],0,0
58906,"Castle on Rock, Etc.",0,0
58874,"Valley, with Mountains",0,0
58853,"The Herzog Friedrich-Strasse, Innsbruck, with the Golden Dachl; Botzen [Turner]",0,0
58919,"Castle among Mountains, with ?River Etsch [Turner]",0,0
58868,"Castle on Rock, with Valley and Distant Mountains",0,0
58827,Street Scene,0,0
58918,"Street Scene, and Mountain Scene. ?Thomsberg, Climston, Ref... [Turner], Etc.",0,0
58914,"Valley, with Mountains",0,0
58844,Mountains,0,0
58828,"Street Scenes, with Towers",0,0
58839,"Mountains. Silanio [Turner]. (?Sologna, near Bassano)",0,0
58869,"Castle on Rock, with Valley and Distant Mountains",0,0
58830,"Street Scenes, Etc.",0,0
58824,The Steps of Santa Maria della Salute; with a supplementary sketch of 'Opsida',0,0
58829,"Pines, Towers, Etc.",0,0
58888,"Town, with Mountains",0,0
58850,"Town in Valley, with Mountains Beyond. (?Primolano)",0,0
58898,Neumarkt [Turner],0,0
58842,Mountains,0,0
58892,Mountain Scene,0,0
58833,Mountains,0,0
58845,Mountains,0,0
58837,Views of Town,0,0
58878,Houses and Mountains,0,0
58846,Mountains,0,0
58910,Castle on Mountain,0,0
58852,Town in Valley. Primolano [Turner],0,0
58907,"Castle on Rock, Etc.",0,0
58854,Mountains,0,0
58883,Mountain Scenes. ?St Bertin [Turner],0,0
58895,"Town, beside River, in Valley (?Trient)",0,0
58917,Tower among Mountains,0,0
58903,"River, with Town",0,0
58889,Mountain Scene,0,0
58905,"Mountains, Etc.",0,0
58893,"Castle on Rock, with Quarry [Turner], Etc.",0,0
58872,Mountains,0,0
58836,Mountains,0,0
58912,Castle on Mountain; Also Vale of Meran [Turner],0,0
58865,"Mountains, with Bridge [Turner]; Also Castle Commanding Pass",0,0
58875,"Maria Theresia-Strasse, Innsbruck, with Column of St Anne, Etc.",0,0
58915,Turbulent ... of the Etsch [Turner],0,0
58891,Mountain Scene,0,0
58908,Vale of Meran [Turner],0,0
58826,Buildings on Hill. ?Melk [Turner],0,0
58862,Mountains,0,0
58886,"Street, with Tower Gateway; Also Castle on Hill",0,0
58922,Mountains,0,0
58871,Mountains,0,0
58880,Mountains,0,0
58890,Mountain Scene,0,0
37870,A Track over Hills or Cliffs,0,0
37823,Two Views of Richmond Hill and Bridge,0,0
37821,Richmond Hill and Bridge,0,0
37812,Ankerwycke Priory,0,0
37849,Dover from Shakespeare Cliff,0,0
37865,Saltwood Castle from the West,0,0
37803,Richmond Bridge and Toll House; Windsor Castle from the North-West,0,0
37802,"Continuation of Chertsey Bridge; Three Studies of a Lily, for 'The Decline of the Carthaginian Empire'",0,0
37806,Eton College Chapel; Verses (Inscription by Turner),0,0
37840,?Pegwell Bay,0,0
37832,Dover Castle from the North-West; a Church and a Monument,0,0
37857,Saltwood Castle from the East,0,0
37871,"Seashore, with Town in Distance",0,0
37808,Three Sketches of Windsor Castle from the North-West; Fragments of Verse (Inscriptions by Turner),0,0
37795,"Three Studies of a Seated Woman, Supporting her Head in her Right Arm",1,0.07692307692307693
37836,Ramsgate Harbour,0,0
37850,"Shakespeare Cliff, Dover",0,0
37873,"Hythe from the Ashford Road, above the Royal Military Canal",0,0
37829,"The Entrance to Ramsgate Harbour, from the Sea",0,0
37827,Ramsgate Harbour from the North-West; Pier Castle,0,0
37779,Wharfedale from the West Chevin above Otley; and a Detail of Otley,0,0
37810,Windsor Castle from the North-West and Related Sketches,0,0
37784,Ground Plans,0,0
37847,Cliffs,0,0
37798,"A Nude Woman, Standing, One Arm Raised to her Head, Seen from the Left",0,0
37869,"St Leonard's Church, Hythe, Coastline Beyond",0,0
37841,Two Views of Cliffs at Richborough,0,0
37792,Windsor from the North-East and Other Scenes Nearby; and Verses (Inscription by Turner),0,0
37805,Sheep Washing; and Windsor Castle from the North-West,0,0
37786,Details of Gothic Fan-Vaulting and Spandrels at Eton or Windsor,0,0
37828,"Ramsgate, from the Sands",0,0
37783,Farnley Hall and Otley from the West Chevin,0,0
37858,Distant View of Hythe,0,0
37839,Cliffs and Buildings,0,0
37787,Details of Gothic Fan-Vaulting and Spandrels at Eton or Windsor,0,0
37851,Chalk Cliffs; ?Looking towards Folkestone,0,0
37846,Ramparts of Dover Castle,0,0
37794,"A Standing Nude Woman, Seen from Behind",0,0
37833,"Laleham from the River Thames, with All Saints' Church",0,0
37874,?Near Hythe,0,0
37815,A Wooden Bridge near Windsor,0,0
37872,Four Views of Walton Bridge,0,0
37853,Folkestone; Fishing Boats off the Shore,0,0
37842,Coastline; Deal; Walmer Castle; Fishermen,0,0
37863,Saltwood Castle from the South,0,0
37844,Dover Castle,0,0
37848,Fishing Boats,0,0
37835,Two Luggers off the Coast,0,0
37837,"Deal from the Beach, with Signal Flags",0,0
37843,Windsor Castle from the North-East,0,0
37859,Two Views of Saltwood Castle,0,0
37866,Four Sketches; Two of Boats and Two of Walton Bridge,0,0
37807,Two Sketches of Windsor Castle from the North-West; Fragments of Verse (Inscriptions by Turner),0,0
37811,"Windsor Castle, the North Terrace and State Apartments, Norman Gate, Winchester Tower &c",0,0
37852,Chalk Cliffs; ?Looking towards Folkestone,0,0
37778,"Wharfedale from the West Chevin, above Otley",0,0
37854,Sandwich; Near the Quay: ?Woodnesborough Church in the Distance,0,0
37825,Landscape with Distant Church Tower,0,0
37868,Four Sketches; Sandling; Cypress and Lilacs; River Scene with Sailing Boats &c,0,0
37875,"The Land Gate, Rye",0,0
37838,The Stern of a Fishing Boat,0,0
37855,"Folkestone; the Lees, St Mary and St Eanswythe Church from the Stade",0,0
37861,Saltwood Castle; the Barbican Gate,0,0
37777,"Lake Tiny, Farnley; and a Cloudy Sky",0,0
37809,Windsor Castle from the North-West and Related Sketches,0,0
37817,"Two River Scenes, Richmond Bridge",0,0
37845,Windsor Castle from the North-West; Detail of Trees,0,0
37862,Saltwood Castle from Castle Road,0,0
37856,A Coastal Town,0,0
37813,Eton College and Chapel,0,0
37776,"Lake Tiny, Farnley",0,0
37782,Farnley Hall and Otley from the West Chevin,0,0
37780,Farnley Hall and Otley from the West Chevin,0,0
37867,Saltwood Castle from the South West,0,0
37793,Unidentified Subject,0,0
37796,"A Standing Nude Woman, Left Arm Raised to her Head; a Standing Draped Figure; and a Detail of a Foot",0,0
37830,Ramsgate Harbour and Lighthouse,0,0
37864,Walton Bridge,0,0
37860,Saltwood Castle from the North,0,0
37801,"Three Sketches of Chertsey Bridge and Thames Scenery; a Leaf; a Tambourine, Flute and Staff for 'The Decline of the Carthaginian Empire'",0,0
37789,Eton; Ramsgate; Recipe for Green Paint (Inscription by Turner),0,0
37797,"A Seated Woman, Draped, One Arm Raised to her Head; Back of a Woman's Head Seen from the Left",0,0
37820,Penton Hook Lock,0,0
37816,Low Sun over a River; Buildings,0,0
37831,Ramsgate Harbour from the Cliffs; the Harbour,0,0
37822,Richmond Hill and Bridge; and a Detail,0,0
37814,Eton College and Chapel; Trees,0,0
43614,"Porto di Ripa Grande, Rome",0,0
43593,"The Casino di Raffaello, Rome, with a View of the Villa Medici",0,0
43607,"Two Sketches of the Banks of the Tiber, near the Aventine Hill, Rome",0,0
43586,"Gate of the Villa Borghese, Rome, on Via Pinciana",0,0
43579,"The River Tiber Looking towards the Ponte Molle, Rome",0,0
43567,"The River Tiber, Rome, near the Villa Farnesina with St Peter's in the Distance",0,0
43622,"A Section of the Vault of the Basilica of Constantine, in the Roman Forum",0,0
43639,"Part of a Panoramic View of Rome from Santi Cosma e Damiano: the Caelian and Palatine Hills, Rome",0,0
43646,Part of a Panoramic View of Rome from Santi Cosma e Damiano: Looking towards the Torre delle Milizie,0,0
43625,"Three Sketches of the Grounds and Casino Nobile of the Villa Borghese, Rome",0,0
43556,"View of the Forum, Rome, Looking towards the Temple of Antoninus and Faustina and the Arch of Titus; and Details of the Temple of Castor and Pollux",0,0
43571,"View of the Castel Sant'Angelo, Rome, with Sun Setting over the River Tiber",0,0
43633,Study of the Sky over Rome,0,0
43569,"The River Tiber, Rome, near the Ponte Rotto",0,0
43620,"Part of a Sketch of the Basilica of Constantine, Roman Forum",0,0
43651,Part of Panoramic View of Rome from the Tower of the Capitol: The Vatican to the Corso,0,0
43592,"The Casino di Raffaello, near the Gardens of the Villa Borghese, Rome",0,0
